,time,open,high,low,close,volume
0,2022-05-16 20:00:00,723.1,723.35,722.22,722.22,13064
1,2022-05-16 19:55:00,723.7,724.24,723.02,723.02,5124
2,2022-05-16 19:50:00,723.41,723.7,722.8,723.7,4899
3,2022-05-16 19:45:00,723.4,723.4,723.08,723.1,1409
4,2022-05-16 19:40:00,724.0,724.14,724.0,724.0,1643
5,2022-05-16 19:35:00,724.02,724.19,723.9,724.0,5593
6,2022-05-16 19:30:00,724.83,724.83,724.15,724.2,4998
7,2022-05-16 19:25:00,724.51,724.99,724.51,724.99,2639
8,2022-05-16 19:15:00,724.62,724.7,724.05,724.43,2227
9,2022-05-16 19:10:00,724.25,724.5,724.0,724.26,3222
10,2022-05-16 19:05:00,724.15,724.47,724.15,724.47,847
11,2022-05-16 19:00:00,724.5,724.5,724.5,724.5,279
12,2022-05-16 18:55:00,724.59,724.59,724.59,724.59,313
13,2022-05-16 18:45:00,725.45,725.56,725.01,725.01,2764
14,2022-05-16 18:40:00,724.6,725.0,724.6,725.0,1992
15,2022-05-16 18:35:00,724.4,724.5,724.4,724.5,559
16,2022-05-16 18:30:00,723.99,724.34,723.6,723.75,3843
17,2022-05-16 18:25:00,724.55,724.55,724.5,724.5,1035
18,2022-05-16 18:20:00,724.37,724.5,724.37,724.4,1739
19,2022-05-16 18:15:00,723.9899,724.0,723.9899,724.0,2985
20,2022-05-16 18:10:00,723.85,723.85,723.5,723.5,1237
21,2022-05-16 18:05:00,723.38,723.53,723.38,723.53,910
22,2022-05-16 18:00:00,723.12,723.12,723.0,723.0,1896
23,2022-05-16 17:55:00,723.0856,723.4,723.0856,723.3,1364
24,2022-05-16 17:50:00,723.0,723.38,723.0,723.38,2136
25,2022-05-16 17:45:00,722.75,723.3,722.75,723.0,2655
26,2022-05-16 17:40:00,722.6,723.0,722.6,723.0,1920
27,2022-05-16 17:35:00,723.4,723.4,722.6,722.6,967
28,2022-05-16 17:30:00,723.5,723.5,722.8167,722.8167,2206
29,2022-05-16 17:25:00,722.99,723.4799,722.99,723.4595,3061
30,2022-05-16 17:20:00,722.9,722.9,722.5,722.6755,8068
31,2022-05-16 17:15:00,722.8,722.95,722.66,722.66,2671
32,2022-05-16 17:10:00,723.0,723.0,722.65,722.65,535
33,2022-05-16 17:05:00,723.26,723.26,722.6508,722.6508,1054
34,2022-05-16 17:00:00,722.28,723.4088,722.1414,723.4088,4177
35,2022-05-16 16:55:00,722.7363,722.9899,722.0278,722.25,10801
36,2022-05-16 16:50:00,723.2,724.37,723.0818,723.0818,7486
