,time,open,high,low,close,volume
0,2022-05-13 20:00:00,775.4,775.7,775.02,775.7,4889
1,2022-05-13 19:55:00,775.05,775.2,774.6,774.61,4845
2,2022-05-13 19:50:00,775.0,775.3,774.82,775.3,4386
3,2022-05-13 19:45:00,774.6,775.0,774.6,774.98,6602
4,2022-05-13 19:40:00,774.75,775.0,774.56,774.8,5328
5,2022-05-13 19:35:00,774.99,774.99,774.34,774.34,1171
6,2022-05-13 19:30:00,774.46,774.5,774.46,774.49,4361
7,2022-05-13 19:25:00,773.84,774.41,773.84,774.3,1381
8,2022-05-13 19:20:00,774.27,774.27,773.19,773.19,420
9,2022-05-13 19:05:00,772.69,773.5,772.69,773.5,968
10,2022-05-13 19:00:00,772.0,773.1,772.0,773.1,4588
11,2022-05-13 18:55:00,772.6,773.0,772.0,772.0,3427
12,2022-05-13 18:50:00,773.05,773.1,772.69,773.1,5682
13,2022-05-13 18:45:00,773.0,773.0,773.0,773.0,554
14,2022-05-13 18:30:00,773.09,773.09,772.9,772.9,498
15,2022-05-13 18:25:00,772.84,773.1,772.75,773.09,2165
16,2022-05-13 18:20:00,773.19,773.19,772.69,772.69,4846
17,2022-05-13 18:15:00,772.75,772.75,772.75,772.75,318
18,2022-05-13 18:10:00,772.45,772.98,772.0,772.98,4435
19,2022-05-13 18:05:00,772.2,772.5,772.2,772.5,1404
20,2022-05-13 18:00:00,772.52,772.52,772.2,772.2,3306
21,2022-05-13 17:55:00,773.22,773.22,772.4,772.4712,2038
22,2022-05-13 17:50:00,773.0225,773.51,773.0024,773.3024,3429
23,2022-05-13 17:45:00,774.0,774.0,773.2946,773.2946,2669
24,2022-05-13 17:40:00,771.9999,773.5,771.9999,773.0666,4039
25,2022-05-13 17:35:00,771.64,771.93,771.23,771.93,2743
26,2022-05-13 17:30:00,771.1883,771.9499,771.1883,771.8,2497
27,2022-05-13 17:25:00,771.48,771.68,771.0,771.55,10518
28,2022-05-13 17:20:00,770.58,771.2,770.3999,771.2,6613
29,2022-05-13 17:15:00,770.1219,770.5,770.11,770.5,4391
30,2022-05-13 17:10:00,770.0801,770.39,770.0801,770.39,823
31,2022-05-13 17:05:00,770.5,770.57,770.0601,770.0601,10043
32,2022-05-13 17:00:00,769.987,770.62,769.987,770.5999,7607
33,2022-05-13 16:55:00,770.1978,770.1978,769.59,769.9,22875
34,2022-05-13 16:50:00,770.39,770.39,770.02,770.02,2288
35,2022-05-13 16:45:00,770.2302,770.25,770.23,770.25,1460
36,2022-05-13 16:40:00,770.05,770.4,769.59,770.4,32437
37,2022-05-13 16:35:00,769.81,770.04,769.81,770.0,2529
38,2022-05-13 16:30:00,770.2,770.2,769.9999,770.0,4808
39,2022-05-13 16:25:00,770.14,770.25,769.99,770.0,8412
